PMID,Publication_Title
36800640,Experiences of a Multiethnic Cohort of Patients Enrolled in a Financial Reimbursement Program for Cancer Clinical Trials.
36800620,Breast cancer knowledge in Lebanese females with positive family history.
36800575,Screening and identification of hub-gene associated with brain metastasis in breast cancer.
36800561,Racial/Ethnic Disparity in the Relationship of Mental and Physical Health With Colorectal Cancer Screening Utilization Among Breast and Prostate Cancer Survivors.
36800556,"Perceptions of Transgender and Nonbinary Persons Toward Breast and Cervical Cancer Development, Screening, and Potential Impact on Gender-Affirming Hormone Therapy."
36800552,Incremental Health Care Costs of Anxiety and Depression Among Medicare Beneficiaries With Cancer.
36800539,Applications of Artificial Intelligence in Breast Pathology.
36800443,SGN-CD228A is an investigational CD228-directed antibody-drug conjugate with potent antitumor activity across a wide spectrum of preclinical solid tumor models.
36800412,Immunosuppressive reprogramming of neutrophils by lung mesenchymal cells promotes breast cancer metastasis.
36800370,Rapid generation of homogenous tumor spheroid microtissues in a scaffold-free platform for high-throughput screening of a novel combination nanomedicine.
36800273,Breast Cancer and Physiologic Avidity From Breast Feeding on FDG PET/CT.
36800243,Increased 18F-Fluoroestradiol Uptake of Radiation Pneumonitis in a Patient With Metastatic Breast Cancer.
36800175,A Transcriptomic and Reverse-Engineering Strategy Reveals Molecular Signatures of Arachidonic Acid Metabolism in 12 Cancers.
36800118,Changes in mammographic density and risk of breast cancer among a diverse cohort of women undergoing mammography screening.
36800117,"Screening behaviours, demographics, and stage at diagnosis in the publicly funded Ontario Breast Screening Program."
36800111,"Justifying Ribociclib Dose in Patients with Advanced Breast Cancer with Renal Impairment Based on PK, Safety, and Efficacy Data: An Innovative Approach Integrating Data from a Dedicated Renal Impairment Study and Oncology Clinical Trials."
36800077,Breast Cancer Screening Should Embrace Precision Medicine: Evidence by Reviewing Economic Evaluations in China.
36800056,Protein kinase D1 overexpression potentiates epidermal growth factor signaling pathway in MCF-7 cells.
36799863,Dysregulation of mitochondrial translation caused by CBFB deficiency cooperates with mutant PIK3CA and is a vulnerability in breast cancer.
36799717,High Dynamic Range Dual-Modal White Light Imaging Improves the Accuracy of Tumor Bed Sampling After Neoadjuvant Therapy for Breast Cancer.
36799690,Overview of Adductomics in Toxicology.
36799539,Novel synthetic derivatives of cinnamic and p-coumaric acids with antiproliferative effect on breast MCF-7 tumor cells.
36799501,Changes in Stage at Presentation among Lung and Breast Cancer Patients During the COVID-19 Pandemic.
