PMID,Disease
36791022,breast cancer
36791022,MDMs
36791022,breast cancer
36791022,breast cancer MDMs
36791022,breast cancer
36791022,breast cancer MDMs
36791022,breast cancer MDMs
36791022,breast cancer
36791022,MDMs
36790946,Breast Cancer
36790946,Breast cancer
36790946,cancer deaths
36790946,cancer
36790946,breast cancer
36790946,breast cancer
36790946,Breast cancer
36790946,tumor
36790946,cancer
36790934,cancer
36790934,cancer
36790934,cancer
36790934,cancer
36790934,cancer
36790934,cancer
36790934,cancer
36790882,breast cancer
36790882,cancer
36790882,tumor
36790882,tumor
36790882,tumor
36790882,tumor
36790882,tumor
36790871,Breast Cancer
36790871,breast cancer
36790871,tumor
36790871,glucose metabolism
36790871,breast cancer
36790871,breast cancer
36790871,breast cancer
36790732,Breast Cancer
36790676,glioma
36790676,liver cancer
36790676,breast cancer
36790676,tumor metastasis
36790676,cancer
36790676,glioma
36790676,liver hepatocellular carcinoma
36790676,breast cancer
36790676,tumor
36790676,tumor
36790676,carcinoma
36790676,paracancerous
36790676,retards
36790676,cancer
36790603,lung cancer
36790603,Lung cancer
36790603,cancer death
36790603,lung adenocarcinoma
36790603,lung cancer
36790603,osimertinib and abemaciclib in lung cancer
36790582,leukemia and breast cancer
36790582,breast cancer
36790573,oligometastatic breast cancers
36790573,oligometastatic breast cancer
36790573,metachronous metastatic breast cancer
36790573,MBC
36790573,metastases
36790573,MBC
36790573,metastases
36790573,metastases
36790573,metastases
36790573,metastases
36790573,metastases
36790573,Visceral metastases
36790573,MBC
36790533,pigmentation
36790533,dyschromatosis universalis hereditaria
36790533,Dyschromatosis universalis hereditaria
36790533,pigmentary genodermatosis
36790533,hyperpigmented and hypopigmented
36790533,melanoma
36790533,hypopigmented
36790533,hyperpigmentation
36790533,hyperpigmentation
36790533,hypopigmentation
36790512,obesity
36790512,breast cancer
36790512,obesity
36790512,breast carcinogenesis
36790512,obesity
36790512,breast cancer
36790512,breast cancer
36790512,obesity
36790512,breast cancer
36790512,obesity
36790512,breast cancer
36790512,tumors
36790512,tumors
36790512,breast cancer
36790512,tumors
36790512,breast cancer
36790512,breast cancer
36790512,breast cancer
36790479,breast cancer
36790479,breast cancer
36790479,breast cancer
36790479,breast cancer
36790479,tumoral
36790479,tumor
36790479,breast cancer
36790445,cancer
36790445,cancer
36790445,cancer
36790445,sphingomyelin nanosystems
36790445,cancer
36790445,tumour
36790445,breast cancer
36790360,CHA
36790360,breast cancer
36790360,cancer
36790346,tumours
36790346,thyroid neoplasms
36790346,tumours
36790346,tumours
36790346,squamous cell carcinoma
36790346,carcinoma of the breast
36790346,renal cell carcinoma
36790346,neuroendocrine carcinoma of the lung
36790346,carcinoma stomach
36790346,malignant melanoma and squamous cell carcinoma
36790346,thyroid carcinoma
36790346,malignancy
36790346,malignancy
36790286,neoplastic lesions
36790286,breast cancer
36790286,neoplastic lesions
36790286,neoplastic lesions
36790286,neoplastic lesions
36790286,ductal carcinomas
36790286,carcinogenic
36790286,breast cancer
36790070,cancer
36790070,cancer
36790070,cancers
36790070,cancer
36790070,mortality
36790070,malignancies
36790070,pancreatic
36790070,colorectal
36790070,prostate cancer
36790070,malignant melanoma
36790070,non-Hodgkin lymphoma
36790070,acute leukemia
36790070,cancer
36790070,mortality
36790070,cancer
36790026,breast cancer
36790026,breast cancer
36790026,breast cancer
36790026,breast cancer
36790026,breast cancer
36789976,breast cancer
36789976,breast lesions
36789976,malignancies
36789976,Breast cancer
36789976,malignancies
36789976,breast lesions
36789976,malignancies
36789976,malignancies
36789894,breast cancer
36789894,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789760,ovarian cancer
36789760,Korean Epithelial Ovarian Cancer
36789760,ovarian cancer
36789760,Korean epithelial ovarian cancer
36789760,CLC
36789760,CLC
36789760,CLC
36789760,CLC
36789760,breast cancer
36789760,carcinogenic
36789739,breast cancer
36789739,invasive cancer
36789739,cancer
36789739,breast cancer
36789739,breast cancers
36789739,breast cancers
36789739,cancer
36789739,Breast Cancer
36789739,Cancer
36789739,I-III breast cancer
36789739,Breast Cancer
36789739,breast cancer
36789739,breast cancer
36789739,contralateral breast cancers
36789739,breast cancer
36789739,cancer
36789739,breast cancer
36789739,ER-negative disease
36789739,cancer
36789739,breast cancer
36789739,cancer
36789739,breast cancer
36789739,cancer
36789739,breast cancers
36789739,breast cancers
36789739,ER-positive cancers
36789689,colorectal cancer
36789689,Colorectal cancer
36789689,malignant tumor
36789689,mortality
36789689,breast cancer
36789689,arrest
36789554,breast cancer
36789554,breast cancer
36789554,breast cancer
36789554,metastases
36789212,breast abnormality
36789212,breast lesion
36789212,anxiety
36789212,anxiety
36789212,breast cancer
36789212,anxiety
36789212,anxiety
36789133,Breast Cancer
36789133,breast cancer
36789133,breast cancer
36789133,tumor
36789133,breast cancer
36789133,breast cancer
36789118,Lymphoblastic Leukemia
36789118,Acute Lymphoblastic Leukemia
36789118,malignancies
36788982,Cancer
36788982,diabetes
36788982,cancer
36788982,diabetes
36788982,pancreas and prostate cancer
36788982,diabetes
36788982,diabetes
36788982,diabetes
36788982,diabetes
36788982,cancers
36788982,diabetes
36788982,Cancer
36788889,Colorectal Cancer
36788889,Colorectal cancer
36788889,CRC
36788889,cancer
36788889,cancer
36788889,breast cancer
36788889,colorectal cancer
36788889,Cancer
36788889,tumor
36788889,tumor
36788889,tumor
