PMID,Disease
36791022,breast cancer
36791022,mdms
36791022,breast cancer mdms
36790946,cancer deaths
36790946,cancer
36790946,tumor
36790871,glucose metabolism
36790676,glioma
36790676,liver cancer
36790676,tumor metastasis
36790676,liver hepatocellular carcinoma
36790676,carcinoma
36790676,paracancerous
36790676,retards
36790603,lung cancer
36790603,cancer death
36790603,lung adenocarcinoma
36790603,osimertinib and abemaciclib in lung cancer
36790582,leukemia and breast cancer
36790573,oligometastatic breast cancers
36790573,oligometastatic breast cancer
36790573,metachronous metastatic breast cancer
36790573,mbc
36790573,metastases
36790573,visceral metastases
36790533,pigmentation
36790533,dyschromatosis universalis hereditaria
36790533,pigmentary genodermatosis
36790533,hyperpigmented and hypopigmented
36790533,melanoma
36790533,hypopigmented
36790533,hyperpigmentation
36790533,hypopigmentation
36790512,obesity
36790512,breast carcinogenesis
36790512,tumors
36790479,tumoral
36790445,sphingomyelin nanosystems
36790445,tumour
36790360,cha
36790346,tumours
36790346,thyroid neoplasms
36790346,squamous cell carcinoma
36790346,carcinoma of the breast
36790346,renal cell carcinoma
36790346,neuroendocrine carcinoma of the lung
36790346,carcinoma stomach
36790346,malignant melanoma and squamous cell carcinoma
36790346,thyroid carcinoma
36790346,malignancy
36790286,neoplastic lesions
36790286,ductal carcinomas
36790286,carcinogenic
36790070,cancers
36790070,mortality
36790070,malignancies
36790070,pancreatic
36790070,colorectal
36790070,prostate cancer
36790070,malignant melanoma
36790070,non-hodgkin lymphoma
36790070,acute leukemia
36789976,breast lesions
36789760,ovarian cancer
36789760,korean epithelial ovarian cancer
36789760,clc
36789739,invasive cancer
36789739,breast cancers
36789739,i-iii breast cancer
36789739,contralateral breast cancers
36789739,er-negative disease
36789739,er-positive cancers
36789689,colorectal cancer
36789689,malignant tumor
36789689,arrest
36789212,breast abnormality
36789212,breast lesion
36789212,anxiety
36789118,lymphoblastic leukemia
36789118,acute lymphoblastic leukemia
36788982,diabetes
36788982,pancreas and prostate cancer
36788889,crc
36788687,breast adenocarcinoma
36788602,ulcwgs
36788595,breast malignancy before tumor
36788595,breast malignancies
36788595,breast lesion malignancy
36788408,fibrosis
36788408,colorectal cancers
36788408,carcinogenesis
36788310,angiosarcoma xenograft
36788310,angiosarcomas
36788310,angiosarcoma of the breast
36788297,parkinson's disease
36788297,pd
36788297,thyroid cancer
36788297,parkinson disease
36788297,cancer gwass
36788297,pd and ovarian cancer
36788297,movement disorders
36788297,parkinson and movement disorder
36788122,invasive breast cancer
36788122,ductal carcinoma
36788122,benign disease
36788122,invasive ductal carcinoma
36788122,invasive lobular carcinoma
36788122,tnbc
36788100,her2-low breast cancer
36788100,duct carcinoma
36788098,"breast, ovarian, endometrial"
36788098,prostate cancers
36788098,deficiency
36788098,hrd
36788086,her2-low tumors
36788082,sebaceous tumors
36788082,skin adnexal neoplasms
36788082,cutaneous neoplasms
36788082,squamous cell carcinomas
36788082,carcinomas
36788082,skin metastases
36788082,breast or lung cancers
36788081,luminal breast cancer
36788078,tnbc tumors
36788078,tnbc tumor
36788073,endometrial carcinomas
36788073,ovarian tumors
36788073,ovarian and endometrial tumors
36788073,thyroid tumors
36788073,serous carcinoma
36788073,clear cell carcinoma
36788073,endometrioid carcinoma
36788073,mucinous carcinoma
36788073,sex cord stromal tumors
36788073,ovarian nonmucinous carcinomas and endometrial carcinomas
36788073,ovarian germ cell tumors
36787951,fascial plane block
36787951,unilateral breast cancer
36787951,toxicity
36787933,vulvar cancer
36787933,squamous cell vulvar cancer
36787921,coronavirus disease 19
36787921,covid-19
36787921,systemic lupus erythematosus
36787921,sle
36787921,sle disease
36787754,lymphadenopathy
36787754,breast tumor
36787754,pain
36787754,siliconomas
36787754,node siliconomas
36787669,breast lesion segmentation
36787617,luminal breast cancers
36787613,tardia
36787512,ovarian
36787512,breast and ovarian cancer
36787508,toxicities
36787313,depression
36787313,depressive disorder
36787313,depressive
36787313,inflammation
36787313,neurotoxicity
36787313,dysregulated hypothalamic-pituitary-adrenal axis
36787313,inflammation-related depression
36787313,breast carcinoma
36787313,organic illness
36787313,psychiatric
36786946,invasive neoplasms
36786674,osteolytic metastases
36786674,h-rise
36786674,pbs
36786674,cytotoxicity
36786671,deep inspiration breath hold
36786671,right breast cancer
36786671,cardiac substructures
36786671,left breast cancer
36786671,mhd
36786551,mtnbc
36786551,type of breast cancer
36786196,breast or lung cancer
36786196,overdose
36786196,overdosing
36786171,death
36786171,coronavirus disease 2019
36785738,metastasis
36785738,cold shock
36785738,tumor spheroid
36785707,clear cell renal cell carcinoma
36785707,kidney cancer
36785645,willingness
36785645,breast and cervical cancers
36785645,-cancers
36785489,"ovarian, tubal and peritoneal cancers"
36785489,invasive epithelial cancers
36785489,familial cancer
36782375,bca tumours
36782375,kaohsiung veterans
36782224,bc carcinogenesis
36781911,reflux esophagitis
36781911,cardiovascular disease
36781911,sleep disturbance
36781911,gastro-esophageal reflux disease
36781911,gerd
36781869,aggressive tumors
36781846,catastrophic injury
36781846,hu toxicity
36781846,tumor cell death
36781754,hyperthermia
36781707,cardiotoxicity
36781707,qtc prolongation
36781707,cardiotoxic
36781543,stress
36781474,necrotic
36781238,typecarcinoma
36781238,invasive micropapillary carcinoma
36781238,invasive papillary carcinoma
36781223,ductal carcinoma in situ
36781219,aggressiveness
36781026,retinopathy
36781026,retinal/choroidal toxicity
36781026,tam retinopathy
36781026,retinal toxicity
36780963,cmd
36780800,tumor immune dysfunction
